transaction_id,transaction_date,year,month,week_of_year,day_of_week,market,state,product,category,vendor,quantity,unit_price,avg_price,total_amount,price_diff,price_diff_pct,price_category,week_start_date
TXN0001,2024-01-24,2024,1,4,Wednesday,Balogun,Lagos,Rice 50Kg,Grains,Alhaji Musa,5.0,78006.0,77800.0,390030.0,206.0,0.2647814910025707,Premium,2024-01-22
TXN0001,2024-01-24,2024,1,4,Wednesday,Balogun,Lagos,Rice 50Kg,Grains,Alhaji Musa,5.0,78006.0,78973.0,390030.0,-967.0,-1.2244691223582742,Premium,2024-01-22
TXN0001,2024-01-24,2024,1,4,Wednesday,Balogun,Lagos,Rice 50Kg,Grains,Alhaji Musa,5.0,78006.0,79266.0,390030.0,-1260.0,-1.5895844372114147,Premium,2024-01-22
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,79788.0,76767.0,-3021.0,-3.7862836516769436,Premium,2024-01-15
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,79566.0,76767.0,-2799.0,-3.5178342508106475,Premium,2024-01-15
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,77509.0,76767.0,-742.0,-0.9573081835657795,Premium,2024-01-15
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,79235.0,76767.0,-2468.0,-3.1147851328327127,Premium,2024-01-15
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,77776.0,76767.0,-1009.0,-1.2973153672083932,Premium,2024-01-15
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,79716.0,76767.0,-2949.0,-3.6993828089718503,Premium,2024-01-15
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,79613.0,76767.0,-2846.0,-3.5747930614346903,Premium,2024-01-15
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,77834.0,76767.0,-1067.0,-1.3708662024308143,Premium,2024-01-15
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,76677.0,76767.0,90.0,0.11737548417387221,Premium,2024-01-15
TXN0002,2024-01-17,2024,1,3,Wednesday,Bodija,Oyo,Rice 50Kg,Grains,Mama Ngozi,1.0,76767.0,78076.0,76767.0,-1309.0,-1.6765715456734462,Premium,2024-01-15
TXN0004,2024-01-25,2024,1,4,Thursday,Bodija,Oyo,Garri White,Grains,Mr Ade,5.0,2673.0,5870.0,13365.0,-3197.0,-54.4633730834753,Low,2024-01-22
TXN0004,2024-01-25,2024,1,4,Thursday,Bodija,Oyo,Garri White,Grains,Mr Ade,5.0,2673.0,5370.0,13365.0,-2697.0,-50.22346368715084,Low,2024-01-22
